result,real
18.4,17.0
18.1,18.0
20.0,19.0
21.0,20.0
21.7,21.0
22.7,22.0
23.5,23.0
24.2,24.0
26.0,25.0
26.6,26.0
28.1,27.0
28.9,28.0
30.2,29.0
31.5,30.0
32.0,31.0
32.9,32.0
34.6,33.0
35.3,34.0
36.1,35.0
37.7,36.0
37.6,37.0
39.0,38.0
40.8,39.0
41.6,40.0
42.1,41.0
44.0,42.0
44.5,43.0
45.8,44.0
46.0,45.0
48.0,46.0
48.4,47.0
50.2,48.0
50.2,49.0
52.0,50.0
52.6,51.0
54.1,52.0
54.4,53.0
56.4,54.0
56.9,55.0
57.4,56.0
19.5,18.0
19.3,19.0
21.2,20.0
22.2,21.0
22.9,22.0
23.9,23.0
24.7,24.0
25.4,25.0
27.1,26.0
27.9,27.0
29.3,28.0
30.1,29.0
31.3,30.0
32.6,31.0
33.1,32.0
34.1,33.0
35.8,34.0
36.4,35.0
37.2,36.0
38.8,37.0
38.8,38.0
40.1,39.0
41.9,40.0
42.8,41.0
43.3,42.0
45.1,43.0
45.6,44.0
47.0,45.0
47.2,46.0
49.2,47.0
49.5,48.0
51.4,49.0
51.3,50.0
53.1,51.0
53.7,52.0
55.2,53.0
55.6,54.0
57.6,55.0
58.0,56.0
58.6,57.0
20.7,19.0
20.4,20.0
22.3,21.0
23.3,22.0
24.0,23.0
25.0,24.0
25.9,25.0
26.5,26.0
28.3,27.0
29.0,28.0
30.4,29.0
31.2,30.0
32.5,31.0
33.7,32.0
34.3,33.0
35.2,34.0
36.9,35.0
37.5,36.0
38.3,37.0
39.9,38.0
39.9,39.0
41.2,40.0
43.0,41.0
44.0,42.0
44.4,43.0
46.2,44.0
46.8,45.0
48.2,46.0
48.2,47.0
50.3,48.0
50.7,49.0
52.5,50.0
52.4,51.0
54.2,52.0
54.8,53.0
56.4,54.0
56.7,55.0
58.7,56.0
59.1,57.0
59.7,58.0
21.7,20.0
21.4,21.0
23.4,22.0
24.4,23.0
25.0,24.0
26.1,25.0
26.9,26.0
27.6,27.0
29.3,28.0
30.1,29.0
31.4,30.0
32.3,31.0
33.5,32.0
34.7,33.0
35.3,34.0
36.3,35.0
38.0,36.0
38.5,37.0
39.3,38.0
40.9,39.0
40.9,40.0
42.2,41.0
44.0,42.0
45.0,43.0
45.4,44.0
47.2,45.0
47.8,46.0
49.2,47.0
49.2,48.0
51.3,49.0
51.6,50.0
53.5,51.0
53.4,52.0
55.1,53.0
55.8,54.0
57.4,55.0
57.7,56.0
59.7,57.0
60.1,58.0
60.7,59.0
22.8,21.0
22.5,22.0
24.4,23.0
25.3,24.0
26.1,25.0
27.1,26.0
28.0,27.0
28.6,28.0
30.3,29.0
31.1,30.0
32.5,31.0
33.2,32.0
34.5,33.0
35.7,34.0
36.3,35.0
37.3,36.0
39.0,37.0
39.6,38.0
40.3,39.0
42.0,40.0
41.9,41.0
43.2,42.0
45.1,43.0
45.9,44.0
46.4,45.0
48.2,46.0
48.8,47.0
50.2,48.0
50.2,49.0
52.3,50.0
52.6,51.0
54.6,52.0
54.4,53.0
56.2,54.0
56.8,55.0
58.3,56.0
58.7,57.0
60.7,58.0
61.1,59.0
61.7,60.0
23.9,22.0
23.6,23.0
25.5,24.0
26.5,25.0
27.3,26.0
28.3,27.0
29.2,28.0
29.7,29.0
31.5,30.0
32.3,31.0
33.6,32.0
34.4,33.0
35.7,34.0
36.9,35.0
37.4,36.0
38.5,37.0
40.1,38.0
40.7,39.0
41.4,40.0
43.1,41.0
43.0,42.0
44.3,43.0
46.2,44.0
47.1,45.0
47.5,46.0
49.3,47.0
50.0,48.0
51.3,49.0
51.3,50.0
53.4,51.0
53.8,52.0
55.7,53.0
55.6,54.0
57.2,55.0
57.9,56.0
59.5,57.0
59.8,58.0
61.9,59.0
62.2,60.0
62.8,61.0
25.1,23.0
24.8,24.0
26.6,25.0
27.7,26.0
28.4,27.0
29.4,28.0
30.4,29.0
30.9,30.0
32.6,31.0
33.4,32.0
34.7,33.0
35.5,34.0
36.8,35.0
37.9,36.0
38.5,37.0
39.7,38.0
41.2,39.0
41.9,40.0
42.5,41.0
44.2,42.0
44.1,43.0
45.4,44.0
47.3,45.0
48.1,46.0
48.6,47.0
50.3,48.0
51.1,49.0
52.5,50.0
52.4,51.0
54.5,52.0
54.8,53.0
56.8,54.0
56.6,55.0
58.2,56.0
59.0,57.0
60.5,58.0
60.8,59.0
63.0,60.0
63.2,61.0
63.9,62.0
26.3,24.0
26.0,25.0
27.9,26.0
28.9,27.0
29.7,28.0
30.6,29.0
31.7,30.0
32.2,31.0
33.8,32.0
34.8,33.0
35.9,34.0
36.7,35.0
38.0,36.0
39.1,37.0
39.7,38.0
40.9,39.0
42.4,40.0
43.1,41.0
43.6,42.0
45.4,43.0
45.3,44.0
46.6,45.0
48.5,46.0
49.4,47.0
49.8,48.0
51.4,49.0
52.3,50.0
53.7,51.0
53.6,52.0
55.7,53.0
56.0,54.0
58.0,55.0
57.8,56.0
59.4,57.0
60.1,58.0
61.7,59.0
62.0,60.0
64.2,61.0
64.3,62.0
65.1,63.0
27.3,25.0
27.1,26.0
28.9,27.0
30.0,28.0
30.8,29.0
31.7,30.0
32.7,31.0
33.3,32.0
34.9,33.0
35.9,34.0
36.9,35.0
37.7,36.0
39.0,37.0
40.1,38.0
40.7,39.0
42.0,40.0
43.4,41.0
44.2,42.0
44.7,43.0
46.5,44.0
46.4,45.0
47.6,46.0
49.5,47.0
50.4,48.0
50.8,49.0
52.4,50.0
53.3,51.0
54.8,52.0
54.6,53.0
56.7,54.0
57.0,55.0
59.0,56.0
58.9,57.0
60.4,58.0
61.2,59.0
62.7,60.0
63.0,61.0
65.3,62.0
65.3,63.0
66.1,64.0
28.5,26.0
28.2,27.0
30.0,28.0
31.1,29.0
31.9,30.0
32.8,31.0
33.9,32.0
34.4,33.0
35.9,34.0
37.0,35.0
37.9,36.0
38.8,37.0
40.1,38.0
41.1,39.0
41.7,40.0
43.0,41.0
44.4,42.0
45.3,43.0
45.8,44.0
47.5,45.0
47.4,46.0
48.6,47.0
50.6,48.0
51.5,49.0
51.9,50.0
53.4,51.0
54.4,52.0
55.9,53.0
55.6,54.0
57.8,55.0
58.1,56.0
60.1,57.0
59.9,58.0
61.4,59.0
62.2,60.0
63.7,61.0
64.0,62.0
66.3,63.0
66.3,64.0
67.2,65.0
29.5,27.0
29.2,28.0
31.1,29.0
32.2,30.0
32.9,31.0
33.9,32.0
35.0,33.0
35.4,34.0
37.0,35.0
38.1,36.0
39.0,37.0
39.9,38.0
41.2,39.0
42.2,40.0
42.8,41.0
44.1,42.0
45.5,43.0
46.4,44.0
46.8,45.0
48.6,46.0
48.5,47.0
49.7,48.0
51.6,49.0
52.6,50.0
53.0,51.0
54.5,52.0
55.5,53.0
57.0,54.0
56.6,55.0
58.9,56.0
59.1,57.0
61.2,58.0
61.0,59.0
62.4,60.0
63.3,61.0
64.8,62.0
65.2,63.0
67.5,64.0
67.4,65.0
68.3,66.0
30.7,28.0
30.3,29.0
32.2,30.0
33.4,31.0
34.1,32.0
35.0,33.0
36.2,34.0
36.6,35.0
38.1,36.0
39.3,37.0
40.1,38.0
41.0,39.0
42.3,40.0
43.4,41.0
43.9,42.0
45.4,43.0
46.7,44.0
47.6,45.0
48.0,46.0
49.8,47.0
49.6,48.0
50.8,49.0
52.8,50.0
53.7,51.0
54.1,52.0
55.6,53.0
56.6,54.0
58.2,55.0
57.7,56.0
60.0,57.0
60.2,58.0
62.3,59.0
62.1,60.0
63.5,61.0
64.4,62.0
65.9,63.0
66.3,64.0
68.6,65.0
68.6,66.0
69.4,67.0
32.1,29.0
31.7,30.0
33.6,31.0
34.8,32.0
35.5,33.0
36.5,34.0
37.6,35.0
38.0,36.0
39.5,37.0
40.7,38.0
41.5,39.0
42.4,40.0
43.7,41.0
44.7,42.0
45.2,43.0
46.7,44.0
48.0,45.0
48.9,46.0
49.3,47.0
51.1,48.0
