result,real
5.6,5.0
6.5,6.0
7.4,7.0
8.4,8.0
9.2,9.0
10.1,10.0
11.0,11.0
11.9,12.0
12.7,13.0
13.7,14.0
5.4,5.0
6.3,6.0
7.2,7.0
8.1,8.0
9.0,9.0
9.9,10.0
10.8,11.0
11.7,12.0
12.5,13.0
13.5,14.0
8.3,8.0
9.3,9.0
10.1,10.0
11.1,11.0
12.0,12.0
12.8,13.0
13.7,14.0
14.7,15.0
15.5,16.0
16.4,17.0
7.3,7.0
8.2,8.0
9.1,9.0
10.1,10.0
10.9,11.0
11.8,12.0
12.7,13.0
13.6,14.0
14.4,15.0
15.3,16.0
4.6,4.0
5.5,5.0
6.4,6.0
7.3,7.0
8.1,8.0
9.1,9.0
10.0,10.0
10.9,11.0
11.8,12.0
12.7,13.0
5.0,4.0
6.0,5.0
6.8,6.0
7.7,7.0
8.5,8.0
9.5,9.0
10.4,10.0
11.3,11.0
12.2,12.0
13.1,13.0
8.4,8.0
9.3,9.0
10.1,10.0
11.1,11.0
12.0,12.0
12.9,13.0
13.8,14.0
14.7,15.0
15.5,16.0
16.4,17.0
3.8,3.0
4.9,4.0
5.7,5.0
6.5,6.0
7.3,7.0
8.4,8.0
9.3,9.0
10.1,10.0
11.2,11.0
12.0,12.0
4.2,4.0
5.2,5.0
6.0,6.0
6.9,7.0
7.7,8.0
8.8,9.0
9.7,10.0
10.5,11.0
11.5,12.0
12.4,13.0
1.5,1.0
2.7,2.0
3.5,3.0
4.6,4.0
5.4,5.0
6.3,6.0
7.3,7.0
8.1,8.0
9.0,9.0
9.8,10.0
4.5,4.0
5.5,5.0
6.3,6.0
7.2,7.0
8.0,8.0
9.1,9.0
10.0,10.0
10.8,11.0
11.8,12.0
12.6,13.0
4.1,3.0
5.1,4.0
5.9,5.0
6.8,6.0
7.6,7.0
8.7,8.0
9.6,9.0
10.4,10.0
11.4,11.0
12.2,12.0
9.0,10.0
9.9,11.0
10.7,12.0
11.7,13.0
12.6,14.0
13.4,15.0
14.4,16.0
15.2,17.0
16.0,18.0
16.9,19.0
4.7,4.0
5.8,5.0
6.6,6.0
7.5,7.0
8.3,8.0
9.3,9.0
10.2,10.0
11.1,11.0
12.0,12.0
12.9,13.0
6.3,6.0
7.2,7.0
8.1,8.0
9.1,9.0
9.9,10.0
10.8,11.0
11.7,12.0
12.6,13.0
13.4,14.0
14.4,15.0
2.8,2.0
3.9,3.0
4.6,4.0
5.6,5.0
6.4,6.0
7.5,7.0
8.3,8.0
9.1,9.0
10.2,10.0
11.0,11.0
4.4,4.0
5.4,5.0
6.2,6.0
7.1,7.0
7.9,8.0
8.9,9.0
9.8,10.0
10.7,11.0
11.7,12.0
12.5,13.0
8.9,9.0
9.9,10.0
10.7,11.0
11.6,12.0
