2022-01-01,Z304Z4ZK,0,173095608,12,0,4557585,52289,12,0,0,0,0,0,22,0,10417,22,0,0,0,52187,61285389104,337560190179
2022-01-02,Z304Z4ZK,0,232801280,12,0,6191270,52312,12,0,0,0,0,0,22,0,10417,22,0,0,0,52210,61290616432,337667908912
2022-01-03,Z304Z4ZK,0,127555424,12,0,7639218,52336,12,0,0,0,0,0,22,0,10417,22,0,0,0,52234,61296788912,337872209014
2022-01-04,Z304Z4ZK,0,87740176,12,0,8859319,52359,12,0,0,0,0,0,22,0,10417,22,0,0,0,52257,61304197296,338054456097
2022-01-05,Z304Z4ZK,0,163870832,12,0,10897733,52394,12,0,0,0,0,0,22,0,10417,22,0,0,0,52293,61318835720,338305394192
2022-01-06,Z304Z4ZK,0,74351192,12,0,13712877,52418,12,0,0,0,0,0,22,0,10417,22,0,0,0,52316,61327742216,338505015682
2022-01-07,Z304Z4ZK,0,175829056,12,0,14534784,52441,12,0,0,0,0,0,21,0,10417,21,0,0,0,52340,61337008544,338596960296
2022-01-08,Z304Z4ZK,0,129540584,12,0,16379322,52465,12,0,0,0,0,0,21,0,10417,21,0,0,0,52363,61345364576,338713380197
2022-01-09,Z304Z4ZK,0,97205232,12,0,17995583,52488,12,0,0,0,0,0,22,0,10417,22,0,0,0,52387,61352440216,338871447735
2022-01-10,Z304Z4ZK,0,117959008,12,0,19259945,52512,12,0,0,0,0,0,21,0,10417,21,0,0,0,52410,61362978296,339017539315
2022-01-11,Z304Z4ZK,0,42726520,12,0,20718978,52535,12,0,0,0,0,0,22,0,10417,22,0,0,0,52434,61371884456,339191452396
2022-01-12,Z304Z4ZK,0,208279392,12,0,22232311,52559,12,0,0,0,0,0,22,0,10417,22,0,0,0,52457,61383852816,339371615529
2022-01-13,Z304Z4ZK,0,19314008,12,0,25186450,52582,12,0,0,0,0,0,22,0,10417,22,0,0,0,52481,61398390112,339624635378
2022-01-14,Z304Z4ZK,0,231152336,12,0,26547776,52606,12,0,0,0,0,0,21,0,10417,21,0,0,0,52504,61410817240,339833609128
2022-01-15,Z304Z4ZK,0,139416568,12,0,28209334,52629,12,0,0,0,0,0,21,0,10417,21,0,0,0,52528,61422729240,339982760485
